"Geo Code","Geo Name","Line Number"
"2021A000011124","Canada",2
"2021A000210","Newfoundland and Labrador",2633
"2021A000211","Prince Edward Island",5264
"2021A000212","Nova Scotia",7895
"2021A000213","New Brunswick",10526
"2021A000224","Quebec",13157
"2021A000235","Ontario",15788
"2021A000246","Manitoba",18419
"2021A000247","Saskatchewan",21050
"2021A000248","Alberta",23681
"2021A000259","British Columbia",26312
"2021A000260","Yukon",28943
"2021A000261","Northwest Territories",31574
"2021A000262","Nunavut",34205
